2010,White,Female,Diseases of Heart,5351
2010,White,Female,Malignant Neoplasms (cancer),3438
2010,White,Female,Influenza (Flu) and Pneumonia,707
2010,White,Female,Chronic Lower Respiratory Diseases,501
2010,White,Female,Cerebrovascular Disease (stroke),382
2010,White,Female,Diabetes Mellitus,258
2010,White,Female,Alzheimer's Disease,247
2010,White,Female,Essential Hypertension and Renal Diseases,219
2010,White,Female,Accidents Except Drug Poisoning,163
2010,White,Female,Leukemia,139
2010,White,Female,Non-Hodgkins's Lymphoma,127
2010,White,Female,Septicemia,107
2010,White,Female,Nephritis and Nephrotic Syndromes,90
2010,White,Female,Mental and Behavioral Disorders due to use of or Accidental Poisoning by Psychoactive Substances Excluding Alcohol and Tobacco,75
2010,White,Female,Atherosclerosis,74
2010,White,Female,Insitu or Benign / Uncertain Neoplasms,69
2010,White,Female,Chronic Liver Disease and Cirrhosis,67
2010,White,Female,Intentional Self-Harm (Suicide),61
2010,White,Female,Parkinson's Disease,55
2010,White,Female,Viral Hepatitis,32
2010,White,Female,Congenital Malformations and Chromosomal Abnormalities,32
2010,White,Female,Certain Conditions Originating in the Perinatal Period,31
2010,White,Female,Human Immunodeficiency Virus (HIV) Disease,24
2010,White,Female,Peptic Ulcer,22
2010,White,Female,Aortic Aneurysm and Dissection,22
2010,White,Female,Cholelithiasis and Disorders of Gallbladder,19
2010,White,Female,Mental and Behavioral Disorders due to use of Alcohol,16
2010,White,Female,Assault (Homicide),13
2010,White,Female,Anemias,6
2010,White,Female,Pneumonitis due to Solids and Liquids,5
2010,White,Female,Complications of Medical and Surgical Care,5
2010,White,Female,Meningitis,3
2010,White,Female,Pregnancy and Childbirth,2
2010,White,Female,Maternal Causes,2
2010,White,Female,All Censored Causes,2
2010,White,Female,Tuberculosis (TB),1
